Date,Open,High,Low,Close,Volume,Adj Close
2011-01-18,129.64,130.11,129.52,130.03999,6225200,119.36705
2011-01-14,128.64999,129.82001,128.59,129.71001,2192700,119.06415
2011-01-13,129.07001,129.17,128.53999,128.91,3428600,118.32981
2011-01-12,128.70,129.20,128.46001,129.09,3447200,118.49503
2011-01-11,127.94,128.23,127.43,127.92,3252000,117.42106
2011-01-10,127.07,127.65,126.70,127.49,2298500,117.02634
2011-01-07,128.05,128.24001,126.64,127.62,2378100,117.14568
2011-01-06,128.17,128.30,127.50,127.85,3843800,117.3568
2011-01-05,127.06,128.20,126.95,128.09,3370800,117.5771
2011-01-04,127.81,127.86,126.68,127.44,6056200,116.98045
2011-01-03,127.19,128.07001,127.14,127.52,3009100,117.05389
2010-12-31,126.00,126.34,125.82,126.25,2044200,115.88812
2010-12-30,126.26,126.54,126.02,126.24,1582100,115.87894
2010-12-29,126.47,126.69,126.38,126.42,1674400,116.04417
2010-12-28,126.38,126.41,126.00,126.30,1177800,115.93402
2010-12-27,125.61,126.24,125.53,126.16,1382100,115.80551
2010-12-23,126.13,126.26,125.78,126.09,1984600,115.74125
2010-12-22,126.59,126.92,126.51,126.88,2479000,115.90097
2010-12-21,126.07,126.56,125.98,126.43,3646600,115.48991
2010-12-20,125.71,125.98,125.07,125.65,2844800,114.7774
2010-12-17,125.14,125.53,124.91,125.40,3859800,114.54904
2010-12-16,124.62,125.33,124.19,125.19,4791300,114.35721
2010-12-15,124.88,125.35,124.32,124.55,3193500,113.77259
2010-12-14,125.22,125.65,124.73,125.10,3070300,114.27499
2010-12-13,125.49,125.63,124.95,124.97,2729000,114.15625
2010-12-10,124.55,125.02,124.17,124.93,1845800,114.11971
2010-12-09,124.40,124.43,123.60,124.23,2151800,113.48028
2010-12-08,123.37,123.79,122.84,123.67,3314700,112.96873
2010-12-07,124.38,124.48,123.18,123.22,2470200,112.55768
2010-12-06,123.04,123.45,122.92,123.13,2864600,112.47546
2010-12-03,122.58,123.43,122.53,123.28,2407700,112.61248
2010-12-02,121.60,123.05,121.57,122.95,2145000,112.31104
2010-12-01,120.63,121.63,120.62,121.40,2771300,110.89516
2010-11-30,118.41,119.57,118.21,118.81,3929400,108.52927
2010-11-29,118.90,119.88,118.15,119.57,2240900,109.22351
2010-11-26,119.58,120.21,119.30,119.30,1040700,108.97688
2010-11-24,119.59,120.64,119.59,120.61,2272500,110.17352
2010-11-23,119.21,119.41,118.39,118.83,2757400,108.54755
2010-11-22,120.10,120.63,119.18,120.57,3061600,110.13698
2010-11-19,120.26,120.74,119.65,120.65,2505900,110.21006
2010-11-18,119.77,120.79,119.76,120.38,3306700,109.96342
2010-11-17,118.62,119.09,118.26,118.63,2071300,108.36485
2010-11-16,119.70,119.89,118.00,118.51,3879600,108.25523
2010-11-15,121.00,121.44,120.40,120.44,2357200,110.01823
2010-11-12,121.23,121.75,120.05,120.60,2821000,110.16438
2010-11-11,121.47,122.22,121.09,122.05,2507300,111.48891
2010-11-10,121.99,122.56,121.08,122.50,2939900,111.89998
